epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.7809,2.25177,3.65726,1.00465,0.01191,0.06166,0.0473,0.01371,2.06541,3.82321,0.88678,0.000225,0.000225,0.000225
2,15.264,1.91043,1.61725,0.89308,0.03147,0.23269,0.17774,0.07976,1.85945,2.96592,0.88637,0.000457921,0.000457921,0.000457921
3,22.2086,1.80685,1.34953,0.89396,0.95004,0.19347,0.21049,0.09905,1.78384,2.20881,0.87258,0.00068614,0.00068614,0.00068614
4,28.2656,1.76354,1.27572,0.8757,0.96624,0.15307,0.22643,0.11591,1.56581,1.92827,0.85118,0.000909656,0.000909656,0.000909656
5,35.0246,1.69005,1.20589,0.87455,0.71295,0.21757,0.23472,0.11834,1.59852,1.47833,0.86915,0.00112847,0.00112847,0.00112847
6,41.3176,1.7368,1.19289,0.86012,0.72824,0.25714,0.24589,0.13454,1.55234,1.21448,0.85493,0.00118812,0.00118812,0.00118812
7,47.3163,1.68589,1.17178,0.86708,0.56031,0.25876,0.27376,0.15352,1.47206,1.15711,0.83761,0.00117575,0.00117575,0.00117575
8,53.3718,1.66825,1.13698,0.86402,0.89396,0.27236,0.3057,0.16878,1.5245,1.12084,0.83806,0.00116337,0.00116337,0.00116337
9,59.1025,1.63477,1.0947,0.85551,0.83725,0.27365,0.3253,0.18256,1.45833,1.04166,0.83855,0.001151,0.001151,0.001151
10,65.2773,1.63382,1.08706,0.85965,0.87295,0.2673,0.3485,0.18729,1.46612,0.9955,0.83813,0.00113863,0.00113863,0.00113863
11,70.9108,1.59616,1.04708,0.84716,0.7634,0.35512,0.39019,0.21941,1.38306,0.89961,0.82819,0.00112625,0.00112625,0.00112625
12,76.9973,1.62736,1.04047,0.85114,0.69832,0.36497,0.4315,0.23279,1.42979,0.94942,0.83915,0.00111388,0.00111388,0.00111388
13,82.8534,1.58242,1.00161,0.8432,0.75887,0.38049,0.44875,0.2424,1.40558,0.87986,0.8291,0.0011015,0.0011015,0.0011015
14,88.8507,1.59639,0.9977,0.84595,0.77443,0.41138,0.48457,0.25453,1.47127,0.87793,0.82596,0.00108913,0.00108913,0.00108913
15,94.7917,1.55657,0.96175,0.83861,0.78706,0.43445,0.52401,0.27422,1.38626,0.84878,0.82363,0.00107675,0.00107675,0.00107675
16,101.31,1.52798,0.94627,0.83813,0.75829,0.45729,0.54111,0.3063,1.33034,0.80394,0.82241,0.00106437,0.00106437,0.00106437
17,107.03,1.51953,0.91464,0.83687,0.80496,0.53868,0.5944,0.32595,1.33078,0.77918,0.82149,0.001052,0.001052,0.001052
18,113.071,1.49236,0.90144,0.83613,0.86373,0.49536,0.60155,0.32235,1.33939,0.77972,0.82034,0.00103962,0.00103962,0.00103962
19,118.993,1.47745,0.89819,0.83764,0.79549,0.56734,0.60943,0.31383,1.34709,0.78069,0.8222,0.00102725,0.00102725,0.00102725
20,124.854,1.52221,0.87685,0.83927,0.80385,0.52571,0.62396,0.3229,1.39433,0.78481,0.82689,0.00101488,0.00101488,0.00101488
21,130.78,1.56767,0.88383,0.83855,0.8098,0.53598,0.62056,0.31568,1.38744,0.77366,0.83242,0.0010025,0.0010025,0.0010025
22,136.287,1.49339,0.85311,0.83689,0.82947,0.56945,0.64731,0.34883,1.38896,0.76561,0.82078,0.000990125,0.000990125,0.000990125
23,142.675,1.50449,0.84484,0.83138,0.80348,0.54482,0.62613,0.32467,1.36551,0.73583,0.82189,0.00097775,0.00097775,0.00097775
24,148.223,1.4489,0.82168,0.82822,0.83256,0.58871,0.65427,0.34546,1.40733,0.73865,0.82531,0.000965375,0.000965375,0.000965375
25,154.36,1.47582,0.83586,0.83195,0.89928,0.57217,0.66486,0.35712,1.36248,0.70894,0.81753,0.000953,0.000953,0.000953
26,160.094,1.47025,0.82406,0.82475,0.66688,0.64504,0.63479,0.33958,1.46034,0.70406,0.82302,0.000940625,0.000940625,0.000940625
27,166.258,1.50747,0.82352,0.83235,0.71057,0.63751,0.67508,0.36592,1.30138,0.69563,0.81728,0.00092825,0.00092825,0.00092825
28,172.011,1.47563,0.80465,0.82875,0.71646,0.63074,0.66317,0.37296,1.28228,0.70688,0.81285,0.000915875,0.000915875,0.000915875
29,178.056,1.45082,0.79144,0.82336,0.7747,0.66609,0.69192,0.39097,1.26413,0.70125,0.81166,0.0009035,0.0009035,0.0009035
30,183.873,1.403,0.76494,0.81674,0.76208,0.62301,0.68043,0.38162,1.26703,0.69651,0.81533,0.000891125,0.000891125,0.000891125
31,189.37,1.40801,0.76965,0.82441,0.7336,0.7122,0.68418,0.38399,1.2972,0.67638,0.81345,0.00087875,0.00087875,0.00087875
32,195.712,1.46681,0.79316,0.82542,0.74162,0.5633,0.62871,0.32965,1.38479,0.78667,0.82908,0.000866375,0.000866375,0.000866375
33,201.268,1.50332,0.82445,0.82817,0.76961,0.65086,0.69352,0.3743,1.29672,0.68894,0.8125,0.000854,0.000854,0.000854
34,207.715,1.47925,0.78562,0.82523,0.74237,0.69461,0.71087,0.38791,1.27828,0.66258,0.81052,0.000841625,0.000841625,0.000841625
35,213.372,1.44201,0.75861,0.82149,0.85278,0.65228,0.71629,0.39944,1.24816,0.65001,0.81236,0.00082925,0.00082925,0.00082925
36,219.486,1.44971,0.76181,0.81898,0.85814,0.63818,0.72086,0.40913,1.27834,0.65448,0.80962,0.000816875,0.000816875,0.000816875
37,225.319,1.45687,0.76389,0.81874,0.85267,0.64895,0.72806,0.41028,1.2375,0.65076,0.8099,0.0008045,0.0008045,0.0008045
38,231.349,1.41251,0.73774,0.81974,0.83064,0.66469,0.73426,0.41393,1.24653,0.63747,0.81225,0.000792125,0.000792125,0.000792125
39,237.117,1.49238,0.76374,0.82513,0.73908,0.65892,0.69801,0.377,1.30196,0.67104,0.81517,0.00077975,0.00077975,0.00077975
40,243.252,1.40444,0.73114,0.81727,0.76693,0.65886,0.71094,0.40212,1.26519,0.65678,0.81321,0.000767375,0.000767375,0.000767375
41,248.858,1.44523,0.74726,0.8233,0.78744,0.61396,0.68482,0.37733,1.37377,0.68602,0.81591,0.000755,0.000755,0.000755
42,254.402,1.44691,0.75411,0.82746,0.82581,0.6792,0.72919,0.39372,1.35709,0.65568,0.81185,0.000742625,0.000742625,0.000742625
43,260.44,1.41458,0.74365,0.81901,0.90805,0.64105,0.7304,0.40666,1.2476,0.64896,0.81072,0.00073025,0.00073025,0.00073025
44,265.697,1.35809,0.7377,0.82409,0.79299,0.67122,0.709,0.39992,1.23783,0.65341,0.80575,0.000717875,0.000717875,0.000717875
45,271.558,1.3786,0.74807,0.82336,0.84747,0.66699,0.73103,0.42481,1.24523,0.64269,0.80974,0.0007055,0.0007055,0.0007055
46,277.336,1.39811,0.74533,0.82107,0.87614,0.66146,0.74538,0.40799,1.24421,0.63063,0.81184,0.000693125,0.000693125,0.000693125
47,283.837,1.41705,0.74115,0.82304,0.78253,0.67487,0.70503,0.39863,1.25536,0.65659,0.81137,0.00068075,0.00068075,0.00068075
48,289.466,1.38704,0.73083,0.81898,0.80451,0.66404,0.72896,0.40258,1.26302,0.65004,0.81098,0.000668375,0.000668375,0.000668375
49,295.706,1.39365,0.70168,0.80703,0.85362,0.64144,0.74098,0.40994,1.21945,0.64416,0.80897,0.000656,0.000656,0.000656
50,301.326,1.42236,0.72643,0.81685,0.83989,0.65691,0.7262,0.40421,1.26188,0.66013,0.81397,0.000643625,0.000643625,0.000643625
51,307.082,1.39244,0.71066,0.81511,0.80153,0.66999,0.73176,0.40641,1.27482,0.66247,0.81506,0.00063125,0.00063125,0.00063125
52,312.928,1.33808,0.6936,0.81262,0.84686,0.65468,0.71307,0.39017,1.30844,0.66971,0.82391,0.000618875,0.000618875,0.000618875
53,318.421,1.35494,0.68167,0.81723,0.85184,0.70516,0.75344,0.41646,1.23322,0.61714,0.81093,0.0006065,0.0006065,0.0006065
